author,reviewRating,reviewBody,dateCreated,reviewUrl,orginalText,name,place_id,aggregateRating
薛倫,5.0,"I wish the miso soup all over the world could be this delicious After eating curry rice for a while, I found that it became more and more delicious 🤔 Must be spicy",2 weeks ago,https://www.google.com/maps/contrib/102398649312475878480/reviews?hl=en-US&sa=X&ved=2ahUKEwi21Jnsp7v5AhV9LUQIHQCUBnsQvfQBegUIARDCAQ,真希望全世界的味增湯都可以這麼好喝 咖喱飯吃了一段時間發現越來越好吃🤔 務必小辣,勝利洋食,ChIJFUD2uM2rQjQRnjn-N2UsCbA,4.8
George Chen (FISH),5.0,Very push! ! ! The boss is a handsome bear! But the point is that the food is delicious!,2 weeks ago,https://www.google.com/maps/contrib/105952303475306517663/reviews?hl=en-US&sa=X&ved=2ahUKEwjSi-Tsp7v5AhX-LEQIHTaDBIoQvfQBegQIARB3,極推！！！老闆是帥熊！但重點還是食物非常好吃！,勝利洋食,ChIJFUD2uM2rQjQRnjn-N2UsCbA,4.8
陳盈納,5.0,Very delicious meal ☺️ Hope to have a small salad set in the future A little too much for one person 😅,2 days ago,https://www.google.com/maps/contrib/104808778716489959696/reviews?hl=en-US&sa=X&ved=2ahUKEwjhtfbpp7v5AhUcLEQIHRuaBHsQvfQBegQIARBR,非常美味暖胃的餐點☺️ 希望之後可以出小沙拉套餐 一個人吃份量有點太多😅,小湯烏 湯專門店,ChIJw__PrcerQjQRR68o5dQYYbg,4.4
莊晴珺,5.0,Food is delicious! Dessert cheese must eat!,2 days ago,https://www.google.com/maps/contrib/113241771525096613013/reviews?hl=en-US&sa=X&ved=2ahUKEwjhtoLqp7v5AhVZDkQIHZccAwEQvfQBegQIARB8,食物美味！甜點奶酪必吃！,Solo Pasta,ChIJwQPcmc-rQjQRtXDQA__PPwg,4.6
chih Lindor,5.0,I'm full now,3 days ago,https://www.google.com/maps/contrib/108736083644096176379/reviews?hl=en-US&sa=X&ved=2ahUKEwjWsKzqp7v5AhUoLkQIHdSqCgcQvfQBegUIARCmAQ,馬上好吃飽了,勝利洋食,ChIJFUD2uM2rQjQRnjn-N2UsCbA,4.8
Tj Chang,1.0,"My son specially picked this 4.6-star Italian restaurant to invite me to dinner. After ordering, we waited for half an hour. Seeing that the late comer had only shrimp shells on the table, we could only drink water to stop our hunger. I don't know what's good about 🤷‍♀️? I'm sorry to give one star, it should be negative 5 stars!",a week ago,https://www.google.com/maps/contrib/108286912926570727261/reviews?hl=en-US&sa=X&ved=2ahUKEwiNkbvrp7v5AhW9D0QIHVSiCk8QvfQBegUIARCOAQ,兒子特地挑這家 4.6 顆星的義大利餐廳請我吃飯，點完之後空等了半小時，眼看旁邊晚來的吃到桌上只剩蝦子殼，我們只能喝水止餓。不曉得🤷‍♀️好在哪裡？給一顆星都對不起自己，應該是 負5顆星！,Solo Pasta,ChIJwQPcmc-rQjQRtXDQA__PPwg,4.6
Yawen,4.0,"The duck breast spaghetti is delicious, but the reservation phone has to be called many times before being answered",a day ago,https://www.google.com/maps/contrib/117982913634272442730/reviews?hl=en-US&sa=X&ved=2ahUKEwjhtoLqp7v5AhVZDkQIHZccAwEQvfQBegQIARBR,鴨胸義大利麵好吃，訂位電話要打超多次才接,Solo Pasta,ChIJwQPcmc-rQjQRtXDQA__PPwg,4.6
曾博威,5.0,like the name of the store This is a restaurant that will make you eat well A place to enjoy a bowl of carefully boiled soup The soup portion of the set meal is sufficient I've eaten a little bit of a boy Don't worry about not getting enough food :D,3 months ago,https://www.google.com/maps/contrib/102159703385494149190/reviews?hl=en-US&sa=X&ved=2ahUKEwi_v97rp7v5AhXTLEQIHZ5uDwEQvfQBegUIARC2AQ,就如同店名那樣 這是一家能讓你好好吃飯 好好喝一碗認真熬煮的湯的地方 套餐的湯份量很夠 我一個男生都吃到有點稱 不用擔心吃不飽的問題喔:D,小湯烏 湯專門店,ChIJw__PrcerQjQRR68o5dQYYbg,4.4
Amy Huang,4.0,Some dishes are not very appetizing The clerk said it was authentic Italian taste Overall feel a bit overrated But you can still eat it and see that everyone's taste is different,a week ago,https://www.google.com/maps/contrib/114239150155491090459/reviews?hl=en-US&sa=X&ved=2ahUKEwiNkbvrp7v5AhW9D0QIHVSiCk8QvfQBegQIARBE,有的料理不是非常合胃口 店員說是道地義大利口味 整體覺得有點過譽 不過還是可以來吃看看 每個人口味不一樣,Solo Pasta,ChIJwQPcmc-rQjQRtXDQA__PPwg,4.6
蔣強民,5.0,"Delicious, more",2 days ago,https://www.google.com/maps/contrib/107186303216235868232/reviews?hl=en-US&sa=X&ved=2ahUKEwjrjsrpp7v5AhWaKkQIHTvpDhQQvfQBegUIARDZAQ,好吃，料多,南港北大荒水餃店,ChIJv4dK1lirQjQRTurkPAZOiqA,3.8
復活戰甲,5.0,"Not to brag, this is the best curry I've ever had. If only I could have discovered this earlier.",a week ago,https://www.google.com/maps/contrib/100585880565130736116/reviews?hl=en-US&sa=X&ved=2ahUKEwjQ3pLrp7v5AhX4BEQIHXI8BlAQvfQBegQIARBH,不吹噓 這咖哩是我吃過最有料的 如果能早一點發現這家就好了,勝利洋食,ChIJFUD2uM2rQjQRnjn-N2UsCbA,4.8
かしわぎゆきりん,5.0,"It's delicious, I'll go next time",a month ago,https://www.google.com/maps/contrib/110606821613839196718/reviews?hl=en-US&sa=X&ved=2ahUKEwj_zYjrp7v5AhVeKEQIHRsCDxQQvfQBegQIARBG,好喝下次還去,小湯烏 湯專門店,ChIJw__PrcerQjQRR68o5dQYYbg,4.4
Wei-Tsen Lai,3.0,"The overall evaluation is medium, and the service is very good. If you want to eat pasta in the East District, you will think of it, but you will not go there specially. After eating this time, I feel that the pasta is better than the appetizer. Appetizer: The octopus was roasted very softly, and the refried beans below had a good taste, and there was no memory in it. Tripe: The stew is soft and rotten, and the sauce is delicious, but unfortunately the bread can't hold back the sauce, as if eating two separate things. pasta Cuttlefish Noodles: The first bite is amazing, it has umami, but the more you eat it, the more greasy Duck Breast Noodles: Today is the best. The sauce is very flavorful with vinegar added. The duck meat is also very tender. Sprinkling with chili powder is great.",2 days ago,https://www.google.com/maps/contrib/101382635393296432749/reviews?hl=en-US&sa=X&ved=2ahUKEwjhtoLqp7v5AhVZDkQIHZccAwEQvfQBegUIARDAAQ,整體評價中等，服務很好，如果在東區想吃義大利麵的話會想到，但不會特地前往，這次吃下來感覺義大利麵優於前菜。 前菜： 章魚烤的很軟，下面的豆泥口感味道不錯，吃起來沒什麼記憶點。 牛肚：燉的軟爛，醬也好吃，可惜麵包巴不住醬像在吃兩個獨立的東西。 義大利麵 墨魚麵：第一口下去有驚艷，有鮮味不過越吃就有點膩口 鴨胸麵：今日最好吃，醬料有加醋非常提味，鴨肉也很嫩，灑上辣椒粉很棒,Solo Pasta,ChIJwQPcmc-rQjQRtXDQA__PPwg,4.6
Show Chen,5.0,"The curry shop I happened to pass by, the owner is very polite and the dining experience is very good",a week ago,https://www.google.com/maps/contrib/101412629830526606056/reviews?hl=en-US&sa=X&ved=2ahUKEwjQ3pLrp7v5AhX4BEQIHXI8BlAQvfQBegQIARAw,碰巧路過的咖哩店，老闆很客氣，用餐體驗很好,勝利洋食,ChIJFUD2uM2rQjQRnjn-N2UsCbA,4.8
Joyce小妹の瘋狂世界,5.0,"Eat something special, eat healthy, eat just right~ There is something special, the guests sitting at home ❤️",3 months ago,https://www.google.com/maps/contrib/109456142984193188473/reviews?hl=en-US&sa=X&ved=2ahUKEwi_v97rp7v5AhXTLEQIHZ5uDwEQvfQBegQIARBH,吃點特別的，吃得健康，吃得剛剛好～ 有種特別，就坐在家裡面的客人❤️,小湯烏 湯專門店,ChIJw__PrcerQjQRR68o5dQYYbg,4.4
Vincent Chang,5.0,good food and at this price quite cheap Services are also in place Although the water is added The quality of the tables and chairs is also relatively cheap But overall it's ok,5 days ago,https://www.google.com/maps/contrib/108805372772639146273/reviews?hl=en-US&sa=X&ved=2ahUKEwi8nODqp7v5AhV9KkQIHcMfAW8QvfQBegQIARB7,食材用料好 且以這地段的價格 算是相當便宜 服務也有到位 雖然水是自己加 桌椅的品質用的也是比較偏廉價感 不過整體來說還是可以的,Solo Pasta,ChIJwQPcmc-rQjQRtXDQA__PPwg,4.6
SHERRY CHEN,5.0,The meals are so delicious🤤🤤🤤,14 hours ago,https://www.google.com/maps/contrib/113194586546119100060/reviews?hl=en-US&sa=X&ved=2ahUKEwjWsKzqp7v5AhUoLkQIHdSqCgcQvfQBegQIARBX,餐點都好好吃🤤🤤🤤,勝利洋食,ChIJFUD2uM2rQjQRnjn-N2UsCbA,4.8
黃家家,5.0,"The seafood soup has unexpectedly many ingredients, and it is very sweet with fresh spices! The sweet and sour taste of the tomato with super soft and tender beef cheeks is amazing!",2 weeks ago,https://www.google.com/maps/contrib/117100089568987584618/reviews?hl=en-US&sa=X&ved=2ahUKEwj52ofsp7v5AhX-KkQIHVh3AcMQvfQBegQIARBp,海鮮湯意外的料超多，搭上新鮮香料很鮮甜！ 牛臉頰超軟嫩的番茄酸酸甜甜的滋味很令人驚艷！,Solo Pasta,ChIJwQPcmc-rQjQRtXDQA__PPwg,4.6
妙音,4.0,"The sicilian rolls are delicious, affordable and worth a visit. 220801",a week ago,https://www.google.com/maps/contrib/113583490765360161744/reviews?hl=en-US&sa=X&ved=2ahUKEwiNkbvrp7v5AhW9D0QIHVSiCk8QvfQBegQIARAe,西西里卷好吃，價格實惠，值得一訪。220801,Solo Pasta,ChIJwQPcmc-rQjQRtXDQA__PPwg,4.6
Kurt LIN,5.0,"One of my favorite stores, I don't really want to comment, I'm afraid I won't be able to drink it in the future! !",a week ago,https://www.google.com/maps/contrib/107742641381403093865/reviews?hl=en-US&sa=X&ved=2ahUKEwjhtfbpp7v5AhUcLEQIHRuaBHsQvfQBegUIARDEAQ,愛店之一，其實不是很想評論，怕以後都喝不到！！,小湯烏 湯專門店,ChIJw__PrcerQjQRR68o5dQYYbg,4.4
Seiji lin,4.0,"If you don't pick up customers at 20:30, the business hours will be written as 20:30 instead of 21:00🤨🧢",14 hours ago,https://www.google.com/maps/contrib/111325699902830438977/reviews?hl=en-US&sa=X&ved=2ahUKEwjWsKzqp7v5AhUoLkQIHdSqCgcQvfQBegQIARBA,20:30就不接客的話，營業時間就寫20:30不是21:00🤨🧢,勝利洋食,ChIJFUD2uM2rQjQRnjn-N2UsCbA,4.8
Kama H.,4.0,"The dumplings are real, bigger than usual Luwei is acceptable Good business, can visit again",a week ago,https://www.google.com/maps/contrib/103886849761935407362/reviews?hl=en-US&sa=X&ved=2ahUKEwjrzuXqp7v5AhV_KEQIHVEWCJ0QvfQBegQIARBx,水餃真材實料，比一般都大 滷味尚可 生意很好，可再訪,南港北大荒水餃店,ChIJv4dK1lirQjQRTurkPAZOiqA,3.8
文思想,4.0,"Black Truffle Potato Cheese Pancake is really a must order 🤩 In addition to being crunchy, it also retains a moist feel inside! ! The Venetian Cuttlefish Fettuccine was a bit more Taiwanese and we were a little disappointed. Creamy pasta with smoked duck breast in Barcelona vinegar, the duck breast is very tender and well seasoned!",3 days ago,https://www.google.com/maps/contrib/108156098370812356828/reviews?hl=en-US&sa=X&ved=2ahUKEwjhtoLqp7v5AhVZDkQIHZccAwEQvfQBegUIARD4AQ,黑松露馬鈴薯起司煎餅真的必點🤩 香酥脆之外，裡面還保有濕潤感！！ 威尼斯墨魚細麵偏台式，我們稍微有點失望。 巴薩醋燻鴨胸奶油義大利麵，鴨胸很嫩，調味不錯！,Solo Pasta,ChIJwQPcmc-rQjQRtXDQA__PPwg,4.6
哭哭貓鮑老大,5.0,Great sandwiches and cheap,6 days ago,https://www.google.com/maps/contrib/106077057309252509449/reviews?hl=en-US&sa=X&ved=2ahUKEwjQ3pLrp7v5AhX4BEQIHXI8BlAQvfQBegQIARAC,三明治超讚 還很便宜,勝利洋食,ChIJFUD2uM2rQjQRnjn-N2UsCbA,4.8
Sherry Chou,5.0,"Once in Hualien, it was super delicious! I am very happy that I can also eat it in Taipei. I accidentally used a lot of local ingredients to make a lot of different kinds of curry, not the usual Japanese style, but a bit of a Nanyang style. The portion is quite enough, and the label is spicy, it is really spicy, I am very happy to eat spicy food 👌 If you are too lazy to go out on the Internet, you can buy their cooking bag and cook some rice by yourself, it is super convenient!",4 months ago,https://www.google.com/maps/contrib/112377718813009551028/reviews?hl=en-US&sa=X&ved=2ahUKEwi_v97rp7v5AhXTLEQIHZ5uDwEQvfQBegUIARDpAQ,曾經在花蓮吃過超級好吃！很開心在台北也吃得到，意外的用很多在地食材做出很多不同種咖哩，不是一般日式那種，使有點南洋風的。份量很夠，而且標示會辣是真的會辣喔 讓愛吃辣的我很開心👌 網路上懶得出門的話可以購買他家的料理包 自己煮些白飯就好，超級方便的！,小湯烏 湯專門店,ChIJw__PrcerQjQRR68o5dQYYbg,4.4
Ching H.,2.0,"The dumplings are a little bigger and have a strong pork flavor. Sour sauce noodles are nothing special, and the sauce is oily and salty; the lo mei is also boring. The price is not cheap. Table 4 on the 1st floor will be dripped with air-conditioning water. Personally, I think it is only suitable for eating once.",a week ago,https://www.google.com/maps/contrib/104299962951289428477/reviews?hl=en-US&sa=X&ved=2ahUKEwil_ozqp7v5AhUXKkQIHcI6AD0QvfQBegUIARDVAQ,水餃稍大顆，豬肉味重。酢醬麵沒什麼特色，而且醬偏油跟鹹；滷味也是無聊。價錢不便宜，1 樓 4 號桌還會被冷氣水滴到，個人認為只適合來吃一次。,南港北大荒水餃店,ChIJv4dK1lirQjQRTurkPAZOiqA,3.8
林先生,2.0,"Living in Tokyo for five years, the overall score is two points.",2 weeks ago,https://www.google.com/maps/contrib/115275719099726930668/reviews?hl=en-US&sa=X&ved=2ahUKEwjSi-Tsp7v5AhX-LEQIHTaDBIoQvfQBegQIARAw,住東京五年，這家整體兩分。,勝利洋食,ChIJFUD2uM2rQjQRnjn-N2UsCbA,4.8
Yin-Ling Huang,5.0,Very good☺️ The soup is as good as the bread is delicious Clear soup and thick soup are great,3 weeks ago,https://www.google.com/maps/contrib/104018388879660546118/reviews?hl=en-US&sa=X&ved=2ahUKEwjokbXqp7v5AhUNLEQIHXUVC_MQvfQBegUIARCpAQ,很讚☺️ 湯一樣好喝麵包好吃 清湯濃湯都很讚,小湯烏 湯專門店,ChIJw__PrcerQjQRR68o5dQYYbg,4.4
伍玖玖,5.0,"There are a lot of seats in the store, the lights will be dim, many people drink here, and the waiter explains the menu attentively. There is free boiled water, no pasta can be ordered, and the sauces are delicious. White Truffle Cream Stewed Egg 250RMB➡️The sauce part is slightly salty and the price is high. Do not push. Bassa Vinegar Smoked Duck Breast Cream Spaghetti 280RMB➡️Slightly sour and cheesey, delicious. Fireworks Noodles 320RMB➡️The taste is indescribable, but delicious. Tiramisu 140 yuan➡️The wine is fragrant, the humidity is just right, and the sweetness is just right.",a week ago,https://www.google.com/maps/contrib/104628999236830952049/reviews?hl=en-US&sa=X&ved=2ahUKEwj52ofsp7v5AhX-KkQIHVh3AcMQvfQBegQIARA8,店內座位數很多，燈光將昏暗，很多人在這裡喝酒，服務員用心解說菜單。有提供免費的白開水，義大利麵都不雷可以點，醬汁都有入味。 白松露奶油燉蛋250元➡️醬料部分稍微偏鹹，價位偏高。不推。 巴薩醋燻鴨胸奶油義大利麵280元➡️微酸口感起司香，很好吃。 煙花女麵320元➡️說不出來的味道，但是好吃的。 提拉米蘇140元➡️酒香濃，濕度剛好，甜度剛好。,Solo Pasta,ChIJwQPcmc-rQjQRtXDQA__PPwg,4.6
鄭鼎原,5.0,something special food delicious,a week ago,https://www.google.com/maps/contrib/113381291307717245908/reviews?hl=en-US&sa=X&ved=2ahUKEwjQ3pLrp7v5AhX4BEQIHXI8BlAQvfQBegUIARCOAQ,東西特別 食物好吃,勝利洋食,ChIJFUD2uM2rQjQRnjn-N2UsCbA,4.8
曾培雅,5.0,"The curry is delicious! The beef ribs are very tender, and the truffle sauce concentration is just right~ Delicious Avocado Chicken Sandwiches The soup that comes with it is delicious~",3 days ago,https://www.google.com/maps/contrib/115083278918318035753/reviews?hl=en-US&sa=X&ved=2ahUKEwjWsKzqp7v5AhUoLkQIHdSqCgcQvfQBegUIARDUAQ,咖喱好吃！ 牛肋條很嫩，松露醬濃度很剛好～ 舒肥酪梨嫩雞三明治好吃 附贈的湯很好喝～,勝利洋食,ChIJFUD2uM2rQjQRnjn-N2UsCbA,4.8
yuchih tsou,5.0,"The salad has many combinations of ingredients, fresh and varied in taste, and you can feel the store's intentions; there are many choices of soups, all of which are delicious! If you don't want the sauce to be poured directly on top, you can inform the clerk in advance to provide it separately or sprinkle it on the side, because you feel that the sauce will be a little greasy after you eat it. The two girls both ordered the salad set a bit too full! It is recommended to order a salad set meal for one person and a two soup set meal for one person. It is actually just right to share the salad for two people. I will visit again if the whole is full!",4 months ago,https://www.google.com/maps/contrib/103189217872084317964/reviews?hl=en-US&sa=X&ved=2ahUKEwi_v97rp7v5AhXTLEQIHZ5uDwEQvfQBegUIARDRAQ,沙拉很多食材搭配組合，新鮮且口感多變，感受店家的用心；湯品選擇很多，都好喝！ 如果不希望醬直接淋在上面，可以提前通知店員單獨提供或撒旁邊，因為覺得吃到最後醬料附著滿多的，會有點小膩 兩位女生都點沙拉套餐有點太飽！ 建議可以一位點沙拉套餐、一位點兩湯套餐，分享沙拉兩個人吃其實很剛好，整體滿優秀的會再訪！,小湯烏 湯專門店,ChIJw__PrcerQjQRR68o5dQYYbg,4.4
Debbie Wen,5.0,"The meals are unique, from appetizers to desserts, and the menu will be updated from time to time. It also has the best cheese in Taiwan!",a week ago,https://www.google.com/maps/contrib/100169699809122309827/reviews?hl=en-US&sa=X&ved=2ahUKEwi8nODqp7v5AhV9KkQIHcMfAW8QvfQBegUIARDcAQ,餐點有特色，從前菜到甜點都好吃， 會不定期更新菜色。同時還有全台最好吃奶酪喔！,Solo Pasta,ChIJwQPcmc-rQjQRtXDQA__PPwg,4.6
Sunny Chung,5.0,"This is a soup restaurant The soups sold every day are not fixed. It is recommended to go to FB to see today's soups and check if there is anything you want to drink. In addition, it is also recommended to go to FB to confirm before departure, because other items will be changed after the soup is sold out. Otherwise, it is easy to see that after watching it at noon, you will find that it is different from what you watched at noon when you go to the scene at night. My personal favorite is the Mushroom Bamboo Shoot Cartilage Soup and Tomato Minced Pork Sauce Soup The soup with minced tomato and pork sauce tastes like Mapo tofu. XD Creamy soup is also good, suitable for dipping bread But I don't really like beef and wild vegetable stew in sauce. I feel that the taste of the sauce is too strong, covering the taste of beef and other ingredients. Chicken Caesar Salad is delicious and the portions are huge The chicken seasoning is also good The dining environment is very comfortable and the staff is very happy XD It's a shop I will visit again",3 months ago,https://www.google.com/maps/contrib/105588276432935152992/reviews?hl=en-US&sa=X&ved=2ahUKEwi_v97rp7v5AhXTLEQIHZ5uDwEQvfQBegUIARCVAQ,這是一間以湯品為主的餐廳 每天販售的湯品不固定，建議可以先到FB看今日湯品，確認有沒有自己想喝的 另外也建議出發之前要再去FB確認，因為湯品售完之後會改其他品項 不然很容易發生中午看完之後，晚上到現場發現跟中午看的不一樣😂 個人最喜歡好菇竹筍軟骨湯跟番茄碎豬肉醬湯 番茄碎豬肉醬湯喝起來有種麻婆豆腐的香味XD 很下飯 奶油的湯也不錯，適合沾麵包 但個人不太喜歡醬汁牛肉野菜燉湯，覺得醬汁的味道太濃厚了，蓋掉牛肉跟其他食材的味道 凱撒沙拉雞肉很好吃，份量很大 雞肉的調味也很不錯 用餐環境很舒服，店員很歡樂XD 是會再回訪的店,小湯烏 湯專門店,ChIJw__PrcerQjQRR68o5dQYYbg,4.4
Bryan Shen,5.0,"Every time you come here, you must order the fried steak sandwich. The owner is also very polite and will make people willing to come and eat!",2 weeks ago,https://www.google.com/maps/contrib/102738874166625428157/reviews?hl=en-US&sa=X&ved=2ahUKEwi21Jnsp7v5AhV9LUQIHQCUBnsQvfQBegQIARB3,每次來必點炸牛排三明治，老闆人也很客氣，會讓人願意特地過來吃！,勝利洋食,ChIJFUD2uM2rQjQRnjn-N2UsCbA,4.8
Kaede Q,4.0,"The serving size is large, and the meal performance is quite satisfactory. Push egg yolk soup, delicious👍🏻",6 days ago,https://www.google.com/maps/contrib/106146499296846141549/reviews?hl=en-US&sa=X&ved=2ahUKEwil_ozqp7v5AhUXKkQIHcI6AD0QvfQBegQIARBp,份量大碗，餐點表現中規中矩。推蛋黃湯，好喝👍🏻,南港北大荒水餃店,ChIJv4dK1lirQjQRTurkPAZOiqA,3.8
Wen Wen,5.0,The atmosphere is laid back and warm with vegetarian options. Delicious and not burdensome.,a week ago,https://www.google.com/maps/contrib/116782664191198999323/reviews?hl=en-US&sa=X&ved=2ahUKEwjokbXqp7v5AhUNLEQIHXUVC_MQvfQBegQIARAC,氣氛悠閒溫暖 有素食。好喝沒負擔。,小湯烏 湯專門店,ChIJw__PrcerQjQRR68o5dQYYbg,4.4
Zach Chen,5.0,good,a month ago,https://www.google.com/maps/contrib/114569920077784869680/reviews?hl=en-US&sa=X&ved=2ahUKEwj_zYjrp7v5AhVeKEQIHRsCDxQQvfQBegQIARAY,不錯,小湯烏 湯專門店,ChIJw__PrcerQjQRR68o5dQYYbg,4.4
