sentence,case-neg,case-all,case-conj,source,word_seg,pos,dependency_parse
牛肉麵的湯和面都很好吃,0,1,1,generate,"['牛肉麵', '的', '湯', '和', '麵', '都', '很', '好吃']","[(0, 'root root'), (1, '牛肉麵 Na'), (2, '的 DE'), (3, '湯 Na'), (4, '和 Caa'), (5, '麵 Na'), (6, '都 D'), (7, '很 Dfa'), (8, '好吃 VH')]","[('5 - 麵 Na', '1 - 牛肉麵 Na', 'assmod'), ('1 - 牛肉麵 Na', '2 - 的 DE', 'assm'), ('5 - 麵 Na', '3 - 湯 Na', 'conj'), ('5 - 麵 Na', '4 - 和 Caa', 'cc'), ('8 - 好吃 VH', '5 - 麵 Na', 'nsubj'), ('8 - 好吃 VH', '6 - 都 D', 'advmod'), ('8 - 好吃 VH', '7 - 很 Dfa', 'advmod'), ('0 - root root', '8 - 好吃 VH', 'root')]"
水餃和湯都不錯，但小菜天崩地裂地難吃,0,1,1,generate,"['水餃', '和', '湯', '都', '不錯', '，', '但', '小菜', '天崩地裂', '地', '難吃']","[(0, 'root root'), (1, '水餃 Na'), (2, '和 Caa'), (3, '湯 Na'), (4, '都 D'), (5, '不錯 VH'), (6, '， COMMACATEGORY'), (7, '但 Cbb'), (8, '小菜 Na'), (9, '天崩地裂 VH'), (10, '地 DE'), (11, '難吃 VH')]","[('3 - 湯 Na', '1 - 水餃 Na', 'conj'), ('3 - 湯 Na', '2 - 和 Caa', 'cc'), ('5 - 不錯 VH', '3 - 湯 Na', 'nsubj'), ('5 - 不錯 VH', '4 - 都 D', 'advmod'), ('0 - root root', '5 - 不錯 VH', 'root'), ('5 - 不錯 VH', '6 - ， COMMACATEGORY', 'punct'), ('11 - 難吃 VH', '7 - 但 Cbb', 'advmod'), ('11 - 難吃 VH', '8 - 小菜 Na', 'amod'), ('11 - 難吃 VH', '9 - 天崩地裂 VH', 'dep'), ('9 - 天崩地裂 VH', '10 - 地 DE', 'dvpm'), ('5 - 不錯 VH', '11 - 難吃 VH', 'advmod')]"
水餃和湯都不錯，但小菜口感很差,0,1,1,generate,"['水餃', '和', '湯', '都', '不錯', '，', '但', '小菜', '口感', '很', '差']","[(0, 'root root'), (1, '水餃 Na'), (2, '和 Caa'), (3, '湯 Na'), (4, '都 D'), (5, '不錯 VH'), (6, '， COMMACATEGORY'), (7, '但 Cbb'), (8, '小菜 Na'), (9, '口感 Na'), (10, '很 Dfa'), (11, '差 VH')]","[('3 - 湯 Na', '1 - 水餃 Na', 'conj'), ('3 - 湯 Na', '2 - 和 Caa', 'cc'), ('5 - 不錯 VH', '3 - 湯 Na', 'nsubj'), ('5 - 不錯 VH', '4 - 都 D', 'advmod'), ('0 - root root', '5 - 不錯 VH', 'root'), ('5 - 不錯 VH', '6 - ， COMMACATEGORY', 'punct'), ('11 - 差 VH', '7 - 但 Cbb', 'advmod'), ('11 - 差 VH', '8 - 小菜 Na', 'amod'), ('11 - 差 VH', '9 - 口感 Na', 'nsubj'), ('11 - 差 VH', '10 - 很 Dfa', 'advmod'), ('5 - 不錯 VH', '11 - 差 VH', 'conj')]"
水餃和湯都不錯，但小菜不太好吃,1,1,1,generate,"['水餃', '和', '湯', '都', '不錯', '，', '但', '小菜', '不', '太', '好吃']","[(0, 'root root'), (1, '水餃 Na'), (2, '和 Caa'), (3, '湯 Na'), (4, '都 D'), (5, '不錯 VH'), (6, '， COMMACATEGORY'), (7, '但 Cbb'), (8, '小菜 Na'), (9, '不 D'), (10, '太 Dfa'), (11, '好吃 VH')]","[('3 - 湯 Na', '1 - 水餃 Na', 'conj'), ('3 - 湯 Na', '2 - 和 Caa', 'cc'), ('5 - 不錯 VH', '3 - 湯 Na', 'nsubj'), ('5 - 不錯 VH', '4 - 都 D', 'advmod'), ('0 - root root', '5 - 不錯 VH', 'root'), ('5 - 不錯 VH', '6 - ， COMMACATEGORY', 'punct'), ('11 - 好吃 VH', '7 - 但 Cbb', 'advmod'), ('11 - 好吃 VH', '8 - 小菜 Na', 'amod'), ('11 - 好吃 VH', '9 - 不 D', 'neg'), ('11 - 好吃 VH', '10 - 太 Dfa', 'advmod'), ('5 - 不錯 VH', '11 - 好吃 VH', 'conj')]"
我覺得水餃和湯都不錯，但小菜不太好吃,1,1,1,generate,"['我', '覺得', '水餃', '和', '湯', '都', '不錯', '，', '但', '小菜', '不', '太', '好吃']","[(0, 'root root'), (1, '我 Nh'), (2, '覺得 VK'), (3, '水餃 Na'), (4, '和 Caa'), (5, '湯 Na'), (6, '都 D'), (7, '不錯 VH'), (8, '， COMMACATEGORY'), (9, '但 Cbb'), (10, '小菜 Na'), (11, '不 D'), (12, '太 Dfa'), (13, '好吃 VH')]","[('2 - 覺得 VK', '1 - 我 Nh', 'nsubj'), ('0 - root root', '2 - 覺得 VK', 'root'), ('5 - 湯 Na', '3 - 水餃 Na', 'conj'), ('5 - 湯 Na', '4 - 和 Caa', 'cc'), ('7 - 不錯 VH', '5 - 湯 Na', 'nsubj'), ('7 - 不錯 VH', '6 - 都 D', 'advmod'), ('2 - 覺得 VK', '7 - 不錯 VH', 'ccomp'), ('2 - 覺得 VK', '8 - ， COMMACATEGORY', 'punct'), ('13 - 好吃 VH', '9 - 但 Cbb', 'advmod'), ('13 - 好吃 VH', '10 - 小菜 Na', 'amod'), ('13 - 好吃 VH', '11 - 不 D', 'neg'), ('13 - 好吃 VH', '12 - 太 Dfa', 'advmod'), ('2 - 覺得 VK', '13 - 好吃 VH', 'conj')]"
店內提供的湯頭非常香,0,0,0,generate,"['店', '內', '提供', '的', '湯頭', '非常', '香']","[(0, 'root root'), (1, '店 Nc'), (2, '內 Ncd'), (3, '提供 VD'), (4, '的 DE'), (5, '湯頭 Na'), (6, '非常 Dfa'), (7, '香 VH')]","[('2 - 內 Ncd', '1 - 店 Nc', 'lobj'), ('3 - 提供 VD', '2 - 內 Ncd', 'loc'), ('5 - 湯頭 Na', '3 - 提供 VD', 'rcmod'), ('3 - 提供 VD', '4 - 的 DE', 'cpm'), ('7 - 香 VH', '5 - 湯頭 Na', 'nsubj'), ('7 - 香 VH', '6 - 非常 Dfa', 'advmod'), ('0 - root root', '7 - 香 VH', 'root')]"
角煮味道厚實但肥肉部分有點油膩。唐揚雞塊不柴但也沒有嫩，味道偏淡。,1,0,1,google-map,"['角', '煮', '味道', '厚實', '但', '肥肉', '部分', '有點', '油膩', '。', '唐揚', '雞塊', '不', '柴', '但', '也', '沒有', '嫩', '，', '味道', '偏淡', '。']","[(0, 'root root'), (1, '角 Na'), (2, '煮 VC'), (3, '味道 Na'), (4, '厚實 VH'), (5, '但 Cbb'), (6, '肥肉 Na'), (7, '部分 Neqa'), (8, '有點 Dfa'), (9, '油膩 VH'), (10, '。 PERIODCATEGORY'), (11, '唐揚 Nb'), (12, '雞塊 Na'), (13, '不 D'), (14, '柴 Na'), (15, '但 Cbb'), (16, '也 D'), (17, '沒有 D'), (18, '嫩 VH'), (19, '， COMMACATEGORY'), (20, '味道 Na'), (21, '偏淡 VH'), (22, '。 PERIODCATEGORY')]","[('3 - 味道 Na', '1 - 角 Na', 'nn'), ('3 - 味道 Na', '2 - 煮 VC', 'nn'), ('4 - 厚實 VH', '3 - 味道 Na', 'nsubj'), ('0 - root root', '4 - 厚實 VH', 'root'), ('4 - 厚實 VH', '5 - 但 Cbb', 'cc'), ('7 - 部分 Neqa', '6 - 肥肉 Na', 'nn'), ('9 - 油膩 VH', '7 - 部分 Neqa', 'nsubj'), ('9 - 油膩 VH', '8 - 有點 Dfa', 'advmod'), ('4 - 厚實 VH', '9 - 油膩 VH', 'conj'), ('4 - 厚實 VH', '10 - 。 PERIODCATEGORY', 'punct'), ('12 - 雞塊 Na', '11 - 唐揚 Nb', 'nn'), ('14 - 柴 Na', '12 - 雞塊 Na', 'nsubj'), ('14 - 柴 Na', '13 - 不 D', 'neg'), ('4 - 厚實 VH', '14 - 柴 Na', 'conj'), ('14 - 柴 Na', '15 - 但 Cbb', 'cc'), ('18 - 嫩 VH', '16 - 也 D', 'advmod'), ('18 - 嫩 VH', '17 - 沒有 D', 'neg'), ('14 - 柴 Na', '18 - 嫩 VH', 'dep'), ('14 - 柴 Na', '19 - ， COMMACATEGORY', 'punct'), ('21 - 偏淡 VH', '20 - 味道 Na', 'nsubj'), ('9 - 油膩 VH', '21 - 偏淡 VH', 'advmod'), ('4 - 厚實 VH', '22 - 。 PERIODCATEGORY', 'punct')]"
湯頭濃郁不過鹹細麵好吃,0,0,0,google-map,"['湯頭', '濃鬱', '不過', '鹹細麵', '好吃']","[(0, 'root root'), (1, '湯頭 Na'), (2, '濃鬱 VH'), (3, '不過 Dfb'), (4, '鹹細麵 Na'), (5, '好吃 VH')]","[('2 - 濃鬱 VH', '1 - 湯頭 Na', 'nsubj'), ('0 - root root', '2 - 濃鬱 VH', 'root'), ('2 - 濃鬱 VH', '3 - 不過 Dfb', 'advmod'), ('5 - 好吃 VH', '4 - 鹹細麵 Na', 'amod'), ('2 - 濃鬱 VH', '5 - 好吃 VH', 'conj')]"
朋友吃酸辣湯餃也很棒,0,0,0,google-map,"['朋友', '吃', '酸辣湯餃', '也', '很', '棒']","[(0, 'root root'), (1, '朋友 Na'), (2, '吃 VC'), (3, '酸辣湯餃 Na'), (4, '也 D'), (5, '很 Dfa'), (6, '棒 VH')]","[('2 - 吃 VC', '1 - 朋友 Na', 'nsubj'), ('6 - 棒 VH', '2 - 吃 VC', 'dep'), ('6 - 棒 VH', '3 - 酸辣湯餃 Na', 'amod'), ('6 - 棒 VH', '4 - 也 D', 'advmod'), ('6 - 棒 VH', '5 - 很 Dfa', 'advmod'), ('0 - root root', '6 - 棒 VH', 'root')]"
麵條Q彈好吃,0,0,0,google-map,"['麵條', 'Q', '彈', '好吃']","[(0, 'root root'), (1, '麵條 Na'), (2, 'Q FW'), (3, '彈 VC'), (4, '好吃 VH')]","[('4 - 好吃 VH', '1 - 麵條 Na', 'nsubj'), ('4 - 好吃 VH', '2 - Q FW', 'punct'), ('4 - 好吃 VH', '3 - 彈 VC', 'root'), ('0 - root root', '4 - 好吃 VH', 'root')]"
店內提供多種口味拉麵，主要以豚骨湯底為主，還有混合魚系湯頭，整體喝起來濃郁卻不膩，可以一口接一口喝。,0,0,0,google-map,"['店', '內', '提供', '多', '種', '口味', '拉麵', '，', '主要', '以', '豚骨湯底', '為主', '，', '還', '有', '混合', '魚系', '湯頭', '，', '整體', '喝起來', '濃鬱', '卻', '不', '膩', '，', '可以', '一口', '接', '一', '口', '喝', '。']","[(0, 'root root'), (1, '店 Nc'), (2, '內 Ncd'), (3, '提供 VD'), (4, '多 Neqa'), (5, '種 Nf'), (6, '口味 Na'), (7, '拉麵 Na'), (8, '， COMMACATEGORY'), (9, '主要 D'), (10, '以 P'), (11, '豚骨湯底 Na'), (12, '為主 VI'), (13, '， COMMACATEGORY'), (14, '還 D'), (15, '有 V_2'), (16, '混合 VC'), (17, '魚系 Na'), (18, '湯頭 Na'), (19, '， COMMACATEGORY'), (20, '整體 Na'), (21, '喝起來 D'), (22, '濃鬱 VH'), (23, '卻 D'), (24, '不 D'), (25, '膩 VH'), (26, '， COMMACATEGORY'), (27, '可以 D'), (28, '一口 D'), (29, '接 VC'), (30, '一 Neu'), (31, '口 Nf'), (32, '喝 VC'), (33, '。 PERIODCATEGORY')]","[('2 - 內 Ncd', '1 - 店 Nc', 'lobj'), ('3 - 提供 VD', '2 - 內 Ncd', 'loc'), ('0 - root root', '3 - 提供 VD', 'root'), ('5 - 種 Nf', '4 - 多 Neqa', 'nummod'), ('6 - 口味 Na', '5 - 種 Nf', 'clf'), ('7 - 拉麵 Na', '6 - 口味 Na', 'nn'), ('3 - 提供 VD', '7 - 拉麵 Na', 'dobj'), ('3 - 提供 VD', '8 - ， COMMACATEGORY', 'punct'), ('12 - 為主 VI', '9 - 主要 D', 'advmod'), ('12 - 為主 VI', '10 - 以 P', 'prep'), ('10 - 以 P', '11 - 豚骨湯底 Na', 'nn'), ('3 - 提供 VD', '12 - 為主 VI', 'conj'), ('3 - 提供 VD', '13 - ， COMMACATEGORY', 'punct'), ('15 - 有 V_2', '14 - 還 D', 'advmod'), ('3 - 提供 VD', '15 - 有 V_2', 'dep'), ('18 - 湯頭 Na', '16 - 混合 VC', 'amod'), ('18 - 湯頭 Na', '17 - 魚系 Na', 'nn'), ('15 - 有 V_2', '18 - 湯頭 Na', 'dobj'), ('3 - 提供 VD', '19 - ， COMMACATEGORY', 'punct'), ('21 - 喝起來 D', '20 - 整體 Na', 'dep'), ('22 - 濃鬱 VH', '21 - 喝起來 D', 'ccomp'), ('3 - 提供 VD', '22 - 濃鬱 VH', 'conj'), ('25 - 膩 VH', '23 - 卻 D', 'cc'), ('25 - 膩 VH', '24 - 不 D', 'neg'), ('22 - 濃鬱 VH', '25 - 膩 VH', 'dep'), ('3 - 提供 VD', '26 - ， COMMACATEGORY', 'punct'), ('32 - 喝 VC', '27 - 可以 D', 'mmod'), ('31 - 口 Nf', '28 - 一口 D', 'nummod'), ('32 - 喝 VC', '29 - 接 VC', 'dep'), ('31 - 口 Nf', '30 - 一 Neu', 'nummod'), ('29 - 接 VC', '31 - 口 Nf', 'range'), ('3 - 提供 VD', '32 - 喝 VC', 'conj'), ('3 - 提供 VD', '33 - 。 PERIODCATEGORY', 'punct')]"
