"author","reviewBody","reviewRating","ratingMaxvalue","reviewTags","dateCreated","images","reviewUrl","reviewSource","orginalText","name","reviewCount","aggregateRating","address","place_id","input","businessUrl"
"Manzih Hong","The dumplings are delicious, big and delicious, the pork filling with leeks is perfect! A piece of 8.5 yuan is very consistent with the CP value. Soups are worth ordering. There are a lot of ingredients. The oyster soup is delicious, but the hot and sour soup is not sour or spicy although it has a lot of ingredients. In terms of luwei, the most recommended is the braised cabbage head and the attached sauerkraut. I ordered the smoked Matsuzaka pork that everyone recommends, but the meat is very dry and the taste is quite salty. Other tofu skin, bitter gourd, and pig scalp are quite ordinary. I didn't give five stars because the environment is really dirty. I hope the boss can take a few days off to clean up the environment. Some places are covered with old dirt and dust, which is frightening. Due to environmental concerns, the frequency of meals will be minimized.","3.0","5.0","","a week ago","https://lh5.googleusercontent.com/p/AF1QipNWq7BKLM13pCRpLvFTZdZ5-A09wOAQh5AakLgk | https://lh5.googleusercontent.com/p/AF1QipPFRJCYXRGUhyv_SOXw6IdZf5rN5-LPKi8N2179 | https://lh5.googleusercontent.com/p/AF1QipOjjsX2prVLaBjpKqvqJXZ_P4MnTUOVJR8MgXzJ | https://lh5.googleusercontent.com/p/AF1QipNRV6vqfLRw4cjUy1etEWXYwR7G4W54fkJDwryu | https://lh5.googleusercontent.com/p/AF1QipMWOamFWEaBwL_5X9jmV8OkD6fvGCJq5-vV3wbQ | https://lh5.googleusercontent.com/p/AF1QipN4UlhPD_9nyhtMrWBWwfVGeZG3jLK9uS9F888y | https://lh5.googleusercontent.com/p/AF1QipOJ1z5KAeJiajiCj3LKbP1GXK8SRHZBXRWF_H03","https://www.google.com/maps/contrib/101105734907946771011/reviews?hl=en-US&sa=X&ved=2ahUKEwiO_a_rp7v5AhULEEQIHdsLA1gQvfQBegQIARAr","www.google.com","水餃很好吃，大顆又美味，豬肉餡加上韭菜，完美！一顆8.5元很CP值相符。 湯類很值得點，料很多，蚵仔湯很好吃，但是酸辣湯雖然料多可不酸也不辣 滷味的話最推滷菜頭和附上的酸菜，點了大家都推薦的煙燻松阪肉，但是吃起來肉質很乾柴，口味也頗鹹，其他豆皮、苦瓜、豬頭皮都頗普通。 沒給到五顆星是因為環境真的太髒了，希望老闆可以找個幾天休假好好整理環境，有些地方佈滿了陳年的污垢和灰塵，令人怵目驚心。因為環境問題會儘量減少用餐頻率。","Nangang Beidahuang Dumpling Shop","7,351","3.8","No. 201, Section 1, Nangang Rd, Nangang District, Taipei City, Taiwan","ChIJv4dK1lirQjQRTurkPAZOiqA","ChIJv4dK1lirQjQRTurkPAZOiqA","https://www.google.com/maps/place/?q=place_id:ChIJv4dK1lirQjQRTurkPAZOiqA"
"AK 777","The lo-mei shop that was delayed by dumplings? Makes me seem to buy too much 😅😅","3.0","5.0","","3 days ago","https://lh5.googleusercontent.com/p/AF1QipOVgx_fkRwEf873yFY_hWgswc1Rhy0O9jRIOUKo | https://lh5.googleusercontent.com/p/AF1QipOWbSf_oyIo0txT4xSN5I1oopkZ1Rj2M55zNaJl","https://www.google.com/maps/contrib/109680564256485488215/reviews?hl=en-US&sa=X&ved=2ahUKEwjrjsrpp7v5AhWaKkQIHTvpDhQQvfQBegUIARDwAQ","www.google.com","被水餃耽誤的滷味店？ 害我好像買多了😅😅","Nangang Beidahuang Dumpling Shop","7,351","3.8","No. 201, Section 1, Nangang Rd, Nangang District, Taipei City, Taiwan","ChIJv4dK1lirQjQRTurkPAZOiqA","ChIJv4dK1lirQjQRTurkPAZOiqA","https://www.google.com/maps/place/?q=place_id:ChIJv4dK1lirQjQRTurkPAZOiqA"
"Tina Yang","Large portion of dumplings, cooked dumplings $8.5/piece, raw dumplings $8/piece, the lo mein is also very good","4.0","5.0","","3 days ago","https://lh5.googleusercontent.com/p/AF1QipMkveCWHFpZmdTEOtPnBgRvmUaDSCkmJ-C2wzRk | https://lh5.googleusercontent.com/p/AF1QipOpCgUDgJueowQESTdjUrGommW6cOYwA9eGnEbi | https://lh5.googleusercontent.com/p/AF1QipMWMgOSonspelR_gEAkbFvcGNg-roXaT6rTZUpp | https://lh5.googleusercontent.com/p/AF1QipMm-vFg5XTdbcO6GX2YF1M5Bm4GLpN81aHOte9y | https://lh5.googleusercontent.com/p/AF1QipMOSvsdcvqO30v0BR5tG0_TU9CtlD94bTfC8SlL","https://www.google.com/maps/contrib/117456145920176249674/reviews?hl=en-US&sa=X&ved=2ahUKEwjrjsrpp7v5AhWaKkQIHTvpDhQQvfQBegUIARCKAg","www.google.com","份量很大的水餃，熟水餃 $8.5/顆、生水餃 $8/顆，滷味也很讚","Nangang Beidahuang Dumpling Shop","7,351","3.8","No. 201, Section 1, Nangang Rd, Nangang District, Taipei City, Taiwan","ChIJv4dK1lirQjQRTurkPAZOiqA","ChIJv4dK1lirQjQRTurkPAZOiqA","https://www.google.com/maps/place/?q=place_id:ChIJv4dK1lirQjQRTurkPAZOiqA"
"Kim YH Wang","Why can't we use the online reservation system? I have to use the phone, but I don't answer the phone. I went directly to the store to make an appointment. The service staff said that they would not pick me up because I was too busy? Then use the online reservation system? ? ? If the private room is not open to the public, you have to go to the door of the store to see the note on the door. Can you use the online system? Or fan page announcements? Did you know that you can also update today's business conditions on Google maps? Do you want to increase the brand atmosphere of an old store and exclusive brand by continuing to use traditional practices? ? ?","2.0","5.0","","2 weeks ago","","https://www.google.com/maps/contrib/104851289545033340208/reviews?hl=en-US&sa=X&ved=2ahUKEwj52ofsp7v5AhX-KkQIHVh3AcMQvfQBegUIARDaAQ","www.google.com","到底為什麼不能用線上訂位系統呢？一定要用電話，但是電話都不接啊 直接去店面預約，服務人員說因為太忙所以不接？那就用線上預約系統啊？？？ 包場不對外開放也要走到店門口才看見門上的紙條，請問可不可以用線上系統呢？或是粉絲專頁公告？你們知道Google maps上也可以更新當日營業狀況嗎？ 持續使用傳統做法是想增加老店、exclusive的品牌氛圍嗎？？？","Solo Pasta","11,161","4.6","No. 29-1, Section 1, Anhe Rd, Da’an District, Taipei City, Taiwan","ChIJwQPcmc-rQjQRtXDQA__PPwg","ChIJwQPcmc-rQjQRtXDQA__PPwg","https://www.google.com/maps/place/?q=place_id:ChIJwQPcmc-rQjQRtXDQA__PPwg"
"H YY","One of the famous shops in Nangang Is it delicious? Different opinions can't be bad But I think it's fine The dumplings are really big, this one really focuses on CP value The speed of calling numbers is also quite smooth","3.0","5.0","","a day ago","https://lh5.googleusercontent.com/p/AF1QipMU5eV-T14hAOvAdmvOWRHdvj6bcGNnLKgYmdbP | https://lh5.googleusercontent.com/p/AF1QipNrWyWYg0urAl9hLRIPcmNT4cY63ZCheVRXturG","https://www.google.com/maps/contrib/115834308374840363751/reviews?hl=en-US&sa=X&ved=2ahUKEwjrjsrpp7v5AhWaKkQIHTvpDhQQvfQBegQIARBu","www.google.com","南港名店之一 好吃嘛？見仁見智 說不上不好 但個人覺得還好 水餃是真的很大顆，這家確實主打CP值 用叫號的 速度也相當順暢","Nangang Beidahuang Dumpling Shop","7,351","3.8","No. 201, Section 1, Nangang Rd, Nangang District, Taipei City, Taiwan","ChIJv4dK1lirQjQRTurkPAZOiqA","ChIJv4dK1lirQjQRTurkPAZOiqA","https://www.google.com/maps/place/?q=place_id:ChIJv4dK1lirQjQRTurkPAZOiqA"
"薛倫","I wish the miso soup all over the world could be this delicious After eating curry rice for a while, I found that it became more and more delicious 🤔 Must be spicy","5.0","5.0","","2 weeks ago","","https://www.google.com/maps/contrib/102398649312475878480/reviews?hl=en-US&sa=X&ved=2ahUKEwi21Jnsp7v5AhV9LUQIHQCUBnsQvfQBegUIARDCAQ","www.google.com","真希望全世界的味增湯都可以這麼好喝 咖喱飯吃了一段時間發現越來越好吃🤔 務必小辣","勝利洋食","874","4.8","Taiwan, Taipei City, Da’an District, Lane 161, Section 1, Dunhua S Rd, 8號","ChIJFUD2uM2rQjQRnjn-N2UsCbA","ChIJFUD2uM2rQjQRnjn-N2UsCbA","https://www.google.com/maps/place/?q=place_id:ChIJFUD2uM2rQjQRnjn-N2UsCbA"
"George Chen (FISH)","Very push! ! ! The boss is a handsome bear! But the point is that the food is delicious!","5.0","5.0","","2 weeks ago","https://lh5.googleusercontent.com/p/AF1QipNpdeBTU3VLkkV9qQjM6Cg4veLIOBh4v_728K4O","https://www.google.com/maps/contrib/105952303475306517663/reviews?hl=en-US&sa=X&ved=2ahUKEwjSi-Tsp7v5AhX-LEQIHTaDBIoQvfQBegQIARB3","www.google.com","極推！！！老闆是帥熊！但重點還是食物非常好吃！","勝利洋食","874","4.8","Taiwan, Taipei City, Da’an District, Lane 161, Section 1, Dunhua S Rd, 8號","ChIJFUD2uM2rQjQRnjn-N2UsCbA","ChIJFUD2uM2rQjQRnjn-N2UsCbA","https://www.google.com/maps/place/?q=place_id:ChIJFUD2uM2rQjQRnjn-N2UsCbA"
"陳盈納","Very delicious meal ☺️ Hope to have a small salad set in the future A little too much for one person 😅","5.0","5.0","","2 days ago","https://lh5.googleusercontent.com/p/AF1QipNWMKGInwei-POYdDVsvpVWJN3VHnYUrZGmgPje","https://www.google.com/maps/contrib/104808778716489959696/reviews?hl=en-US&sa=X&ved=2ahUKEwjhtfbpp7v5AhUcLEQIHRuaBHsQvfQBegQIARBR","www.google.com","非常美味暖胃的餐點☺️ 希望之後可以出小沙拉套餐 一個人吃份量有點太多😅","Soup Stock Store","1,466","4.4","No. 3號, Lane 240, Guangfu S Rd, Da’an District, Taipei City, Taiwan","ChIJw__PrcerQjQRR68o5dQYYbg","ChIJw__PrcerQjQRR68o5dQYYbg","https://www.google.com/maps/place/?q=place_id:ChIJw__PrcerQjQRR68o5dQYYbg"
"Vanessa Chen","","4.0","5.0","","2 months ago","","https://www.google.com/maps/contrib/102814445450986380829/reviews?hl=en-US&sa=X&ved=2ahUKEwi_v97rp7v5AhXTLEQIHZ5uDwEQvfQBegQIARA0","www.google.com","","Soup Stock Store","1,466","4.4","No. 3號, Lane 240, Guangfu S Rd, Da’an District, Taipei City, Taiwan","ChIJw__PrcerQjQRR68o5dQYYbg","ChIJw__PrcerQjQRR68o5dQYYbg","https://www.google.com/maps/place/?q=place_id:ChIJw__PrcerQjQRR68o5dQYYbg"
"Evelyn Lei","very spacious interior, great soup and salad for a quick lunch","5.0","5.0","","a month ago","https://lh5.googleusercontent.com/p/AF1QipOgD0kwKAj2yWZhqmlqqHljxeLjBIx6I504sC1J","https://www.google.com/maps/contrib/107279017957434795832/reviews?hl=en-US&sa=X&ved=2ahUKEwj_zYjrp7v5AhVeKEQIHRsCDxQQvfQBegQIARAu","www.google.com","","Soup Stock Store","1,466","4.4","No. 3號, Lane 240, Guangfu S Rd, Da’an District, Taipei City, Taiwan","ChIJw__PrcerQjQRR68o5dQYYbg","ChIJw__PrcerQjQRR68o5dQYYbg","https://www.google.com/maps/place/?q=place_id:ChIJw__PrcerQjQRR68o5dQYYbg"
"莊晴珺","Food is delicious! Dessert cheese must eat!","5.0","5.0","","2 days ago","https://lh5.googleusercontent.com/p/AF1QipO7orVRQpyL7dE2GhhWVjuZtQvROZHcqcr9X0SY","https://www.google.com/maps/contrib/113241771525096613013/reviews?hl=en-US&sa=X&ved=2ahUKEwjhtoLqp7v5AhVZDkQIHZccAwEQvfQBegQIARB8","www.google.com","食物美味！甜點奶酪必吃！","Solo Pasta","11,161","4.6","No. 29-1, Section 1, Anhe Rd, Da’an District, Taipei City, Taiwan","ChIJwQPcmc-rQjQRtXDQA__PPwg","ChIJwQPcmc-rQjQRtXDQA__PPwg","https://www.google.com/maps/place/?q=place_id:ChIJwQPcmc-rQjQRtXDQA__PPwg"
"Jam D","","5.0","5.0","","a day ago","","https://www.google.com/maps/contrib/106724091294470328545/reviews?hl=en-US&sa=X&ved=2ahUKEwjrjsrpp7v5AhWaKkQIHTvpDhQQvfQBegUIARCIAQ","www.google.com","","Nangang Beidahuang Dumpling Shop","7,351","3.8","No. 201, Section 1, Nangang Rd, Nangang District, Taipei City, Taiwan","ChIJv4dK1lirQjQRTurkPAZOiqA","ChIJv4dK1lirQjQRTurkPAZOiqA","https://www.google.com/maps/place/?q=place_id:ChIJv4dK1lirQjQRTurkPAZOiqA"
"chih Lindor","I'm full now","5.0","5.0","","3 days ago","","https://www.google.com/maps/contrib/108736083644096176379/reviews?hl=en-US&sa=X&ved=2ahUKEwjWsKzqp7v5AhUoLkQIHdSqCgcQvfQBegUIARCmAQ","www.google.com","馬上好吃飽了","勝利洋食","874","4.8","Taiwan, Taipei City, Da’an District, Lane 161, Section 1, Dunhua S Rd, 8號","ChIJFUD2uM2rQjQRnjn-N2UsCbA","ChIJFUD2uM2rQjQRnjn-N2UsCbA","https://www.google.com/maps/place/?q=place_id:ChIJFUD2uM2rQjQRnjn-N2UsCbA"
"Tj Chang","My son specially picked this 4.6-star Italian restaurant to invite me to dinner. After ordering, we waited for half an hour. Seeing that the late comer had only shrimp shells on the table, we could only drink water to stop our hunger. I don't know what's good about 🤷‍♀️? I'm sorry to give one star, it should be negative 5 stars!","1.0","5.0","","a week ago","https://lh5.googleusercontent.com/p/AF1QipNZ0H6yZ67JvBEbsvIxfkQgFFWLSlVIIB1x0ALo | https://lh5.googleusercontent.com/p/AF1QipOXAeXWi6oXJewMtCoCQxEf2UL99B27zSG_oipY | https://lh5.googleusercontent.com/p/AF1QipOBbGZEMkAEq0sDmxnuCe5gMrUg7aWRbqshx0e4","https://www.google.com/maps/contrib/108286912926570727261/reviews?hl=en-US&sa=X&ved=2ahUKEwiNkbvrp7v5AhW9D0QIHVSiCk8QvfQBegUIARCOAQ","www.google.com","兒子特地挑這家 4.6 顆星的義大利餐廳請我吃飯，點完之後空等了半小時，眼看旁邊晚來的吃到桌上只剩蝦子殼，我們只能喝水止餓。不曉得🤷‍♀️好在哪裡？給一顆星都對不起自己，應該是 負5顆星！","Solo Pasta","11,161","4.6","No. 29-1, Section 1, Anhe Rd, Da’an District, Taipei City, Taiwan","ChIJwQPcmc-rQjQRtXDQA__PPwg","ChIJwQPcmc-rQjQRtXDQA__PPwg","https://www.google.com/maps/place/?q=place_id:ChIJwQPcmc-rQjQRtXDQA__PPwg"
"Yawen","The duck breast spaghetti is delicious, but the reservation phone has to be called many times before being answered","4.0","5.0","","a day ago","","https://www.google.com/maps/contrib/117982913634272442730/reviews?hl=en-US&sa=X&ved=2ahUKEwjhtoLqp7v5AhVZDkQIHZccAwEQvfQBegQIARBR","www.google.com","鴨胸義大利麵好吃，訂位電話要打超多次才接","Solo Pasta","11,161","4.6","No. 29-1, Section 1, Anhe Rd, Da’an District, Taipei City, Taiwan","ChIJwQPcmc-rQjQRtXDQA__PPwg","ChIJwQPcmc-rQjQRtXDQA__PPwg","https://www.google.com/maps/place/?q=place_id:ChIJwQPcmc-rQjQRtXDQA__PPwg"
"曾博威","like the name of the store This is a restaurant that will make you eat well A place to enjoy a bowl of carefully boiled soup The soup portion of the set meal is sufficient I've eaten a little bit of a boy Don't worry about not getting enough food :D","5.0","5.0","","3 months ago","https://lh5.googleusercontent.com/p/AF1QipPxlodknmBJab-5YOqrHghxMi-excMhT6Miom2D | https://lh5.googleusercontent.com/p/AF1QipPpcSjwckWlM5av4IvuosX4OtsLYaARzCvE8_3w | https://lh5.googleusercontent.com/p/AF1QipOr4IBrWyBxKt3YHM8pfFmoOKPqTYYHDLuvBVMt | https://lh5.googleusercontent.com/p/AF1QipPQCHoI4DUAbaQJe6mZUTKKpNIHwSdj1cKkRfS4","https://www.google.com/maps/contrib/102159703385494149190/reviews?hl=en-US&sa=X&ved=2ahUKEwi_v97rp7v5AhXTLEQIHZ5uDwEQvfQBegUIARC2AQ","www.google.com","就如同店名那樣 這是一家能讓你好好吃飯 好好喝一碗認真熬煮的湯的地方 套餐的湯份量很夠 我一個男生都吃到有點稱 不用擔心吃不飽的問題喔:D","Soup Stock Store","1,466","4.4","No. 3號, Lane 240, Guangfu S Rd, Da’an District, Taipei City, Taiwan","ChIJw__PrcerQjQRR68o5dQYYbg","ChIJw__PrcerQjQRR68o5dQYYbg","https://www.google.com/maps/place/?q=place_id:ChIJw__PrcerQjQRR68o5dQYYbg"
"Andrew Syu","","5.0","5.0","","a day ago","","https://www.google.com/maps/contrib/100536739028383835956/reviews?hl=en-US&sa=X&ved=2ahUKEwjhtoLqp7v5AhVZDkQIHZccAwEQvfQBegQIARBo","www.google.com","","Solo Pasta","11,161","4.6","No. 29-1, Section 1, Anhe Rd, Da’an District, Taipei City, Taiwan","ChIJwQPcmc-rQjQRtXDQA__PPwg","ChIJwQPcmc-rQjQRtXDQA__PPwg","https://www.google.com/maps/place/?q=place_id:ChIJwQPcmc-rQjQRtXDQA__PPwg"
"Vincent Liu","","5.0","5.0","","a week ago","","https://www.google.com/maps/contrib/105381518155234181485/reviews?hl=en-US&sa=X&ved=2ahUKEwjrzuXqp7v5AhV_KEQIHVEWCJ0QvfQBegUIARCMAQ","www.google.com","","Nangang Beidahuang Dumpling Shop","7,351","3.8","No. 201, Section 1, Nangang Rd, Nangang District, Taipei City, Taiwan","ChIJv4dK1lirQjQRTurkPAZOiqA","ChIJv4dK1lirQjQRTurkPAZOiqA","https://www.google.com/maps/place/?q=place_id:ChIJv4dK1lirQjQRTurkPAZOiqA"
